,결과,득점_득점,공격종합성공률,후위성공률,퀵오픈성공률,서브성공률,디그성공률,세트성공률,리시브성공률,블로킹성공률,팀명_KB손해보험,팀명_OK금융그룹,팀명_대한항공,팀명_삼성화재,팀명_우리카드,팀명_한국전력,팀명_현대캐피탈,상대팀_KB손해보험,상대팀_OK금융그룹,상대팀_대한항공,상대팀_삼성화재,상대팀_우리카드,상대팀_한국전력,상대팀_현대캐피탈
1099,1,59,0.46078431372549017,0.5555555555555556,0.5882352941176471,0.041666666666666664,0.7115384615384616,0.42990654205607476,0.5428571428571428,0.14285714285714285,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1100,0,39,0.4358974358974359,0.5625,0.48,0.018867924528301886,0.7567567567567568,0.058823529411764705,0.5636363636363636,0.12121212121212122,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1101,1,71,0.5145631067961165,0.625,0.4375,0.07368421052631578,0.8070175438596491,0.4636363636363636,0.49230769230769234,0.1774193548387097,0,0,0,0,0,0,1,0,1,0,0,0,0,0
1102,0,70,0.47706422018348627,0.5428571428571428,0.6875,0.07777777777777778,0.7962962962962963,0.42735042735042733,0.6153846153846154,0.19642857142857142,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1103,1,61,0.5555555555555556,0.625,0.6,0.05747126436781609,0.6470588235294118,0.5176470588235295,0.4827586206896552,0.34375,0,0,0,0,0,0,1,0,1,0,0,0,0,0
1104,0,38,0.4918032786885246,0.3333333333333333,0.4666666666666667,0.07317073170731707,0.7727272727272727,0.16666666666666666,0.5365853658536586,0.19230769230769232,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1105,1,71,0.6333333333333333,0.6428571428571429,0.5454545454545454,0.042105263157894736,0.6909090909090909,0.6086956521739131,0.5254237288135594,0.17857142857142858,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1106,1,45,0.5,0.4827586206896552,0.6666666666666666,0.05084745762711865,0.7894736842105263,0.5,0.5813953488372093,0.4,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1107,0,73,0.4778761061946903,0.36,0.5428571428571428,0.049019607843137254,0.82,0.48672566371681414,0.32941176470588235,0.21212121212121213,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1108,1,52,0.6271186440677966,0.8333333333333334,0.75,0.1111111111111111,0.7857142857142857,0.6129032258064516,0.4166666666666667,0.21875,0,0,0,0,0,0,1,1,0,0,0,0,0,0
1109,1,58,0.6,0.7,0.55,0.057971014492753624,0.6764705882352942,0.5571428571428572,0.6222222222222222,0.42857142857142855,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1110,1,57,0.4318181818181818,0.2857142857142857,0.5172413793103449,0.053763440860215055,0.7115384615384616,0.4065934065934066,0.390625,0.2222222222222222,0,0,0,0,0,0,1,0,1,0,0,0,0,0
1111,1,49,0.578125,0.6875,0.6153846153846154,0.057971014492753624,0.9024390243902439,0.4782608695652174,0.5581395348837209,0.1702127659574468,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1112,0,81,0.5245901639344263,0.5263157894736842,0.6774193548387096,0.06542056074766354,0.7777777777777778,0.5,0.5595238095238095,0.16666666666666666,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1113,1,67,0.5145631067961165,0.48148148148148145,0.5714285714285714,0.050505050505050504,0.7894736842105263,0.4791666666666667,0.40540540540540543,0.16666666666666666,0,0,0,0,0,0,1,1,0,0,0,0,0,0
